"NUM","NAME","PRO","DATE","PLACE","COU","COD","LON","LAT",1955
1643,"Diddens Jean","FOO","1906-09-14 02:00:00+00:00","MALINES","BE","ANT","4.5","51.23333",
1644,"Diricx Henri","FOO","1927-07-07 00:00:00+00:00","DUFFEL","BE","ANT","4.5","51.23333",
1645,"Dries Marcel","FOO","1929-09-19 11:00:00+00:00","BERCHEM","BE","ANT","4.5","51.23333",
1646,"Gauquelin-A1-1646","FOO","1898-02-08 22:00:00+00:00","ANVERS","BE","ANT","4.5","51.23333",
1647,"Gauquelin-A1-1647","FOO","1897-11-02 03:30:00+00:00","LIEGE","BE","LIE","5.5","50.65",
1648,"Hanon Pierre","FOO","1936-12-29 02:30:00+00:00","ANDERLECHT","BE","BRA","4.25","50.85",
1649,"Hellemans Auguste","FOO","1907-06-21 21:00:00+00:00","CAPPELLE-AU-BOIS","BE","BRA","4.25","50.85",
1650,"Heylens George","FOO","1941-08-08 21:15:00+00:00","ETTERBEEK","BE","BRA","4.25","50.85",
1651,"Ho Ydonckx Nicolaas","FOO","1900-12-29 15:00:00+00:00","ZOLDER","BE","LIM","5.5","50.78333",
1652,"Huymans Constant","FOO","1928-10-11 10:00:00+00:00","BORGERHOUT","BE","ANT","4.5","51.23333",
1653,"Jurion Jozef","FOO","1937-02-24 17:00:00+00:00","RUISBROEK","BE","BRA","4.25","50.85",
1654,"Gauquelin-A1-1654","FOO","1897-05-08 11:00:00+00:00","HOBOKEN","BE","ANT","4.5","51.23333",
1655,"Lemberechts Victor","FOO","1924-05-18 01:00:00+00:00","MALINES","BE","ANT","4.5","51.23333",
1656,"Lippens Martin","FOO","1934-10-08 14:30:00+00:00","ANDERLECHT","BE","BRA","4.25","50.85",
1657,"Meert Henri","FOO","1920-08-27 10:30:00+00:00","SCHAARBEEK","BE","BRA","4.25","50.85",
1658,"Mees Vic","FOO","1927-01-26 08:00:00+00:00","SCHOTEN","BE","ANT","4.5","51.23333",
1659,"Mermans Jozef","FOO","1922-02-16 16:00:00+00:00","MERKSEM","BE","ANT","4.5","51.23333",
1660,"Moeschal Jacques","FOO","1900-03-09 17:30:00+00:00","UCCLE","BE","BRA","4.25","50.85",
1661,"Musch Joseph","FOO","1892-10-13 18:00:00+00:00","UCCLE","BE","BRA","4.25","50.85",
1662,"Nouwens Theodore","FOO","1908-02-17 10:00:00+00:00","MALINES","BE","ANT","4.5","51.23333",
