profession,professionLabel
http://www.wikidata.org/entity/Q12325324,Q12325324
http://www.wikidata.org/entity/Q12326173,Q12326173
http://www.wikidata.org/entity/Q12326534,Q12326534
http://www.wikidata.org/entity/Q12326676,Q12326676
http://www.wikidata.org/entity/Q12327321,Q12327321
http://www.wikidata.org/entity/Q12327879,Q12327879
http://www.wikidata.org/entity/Q12328097,Q12328097
http://www.wikidata.org/entity/Q1233038,Q1233038
http://www.wikidata.org/entity/Q12332078,Q12332078
http://www.wikidata.org/entity/Q12332079,Q12332079
http://www.wikidata.org/entity/Q12332089,Q12332089
http://www.wikidata.org/entity/Q12332416,Q12332416
http://www.wikidata.org/entity/Q12332456,Q12332456
http://www.wikidata.org/entity/Q12332573,Q12332573
http://www.wikidata.org/entity/Q12332761,Q12332761
http://www.wikidata.org/entity/Q12333050,Q12333050
http://www.wikidata.org/entity/Q12333167,Q12333167
http://www.wikidata.org/entity/Q12333470,Q12333470
http://www.wikidata.org/entity/Q12334724,Q12334724
http://www.wikidata.org/entity/Q12335060,Q12335060
http://www.wikidata.org/entity/Q12335090,Q12335090
http://www.wikidata.org/entity/Q12335650,Q12335650
http://www.wikidata.org/entity/Q12335884,Q12335884
http://www.wikidata.org/entity/Q12337193,Q12337193
http://www.wikidata.org/entity/Q12338120,Q12338120
http://www.wikidata.org/entity/Q12339557,Q12339557
http://www.wikidata.org/entity/Q12339688,Q12339688
http://www.wikidata.org/entity/Q12339980,Q12339980
http://www.wikidata.org/entity/Q12341176,Q12341176
http://www.wikidata.org/entity/Q12341216,Q12341216
http://www.wikidata.org/entity/Q12341347,Q12341347
http://www.wikidata.org/entity/Q12343336,Q12343336
http://www.wikidata.org/entity/Q12350381,Q12350381
http://www.wikidata.org/entity/Q12355193,Q12355193
http://www.wikidata.org/entity/Q12358245,Q12358245
http://www.wikidata.org/entity/Q12359511,Q12359511
http://www.wikidata.org/entity/Q12360479,Q12360479
http://www.wikidata.org/entity/Q12361663,Q12361663
http://www.wikidata.org/entity/Q12363724,Q12363724
http://www.wikidata.org/entity/Q12366710,Q12366710
http://www.wikidata.org/entity/Q12367096,Q12367096
http://www.wikidata.org/entity/Q12367319,Q12367319
http://www.wikidata.org/entity/Q12368369,Q12368369
http://www.wikidata.org/entity/Q12369034,Q12369034
http://www.wikidata.org/entity/Q12369977,Q12369977
http://www.wikidata.org/entity/Q12371995,Q12371995
http://www.wikidata.org/entity/Q12375117,Q12375117
http://www.wikidata.org/entity/Q12375676,Q12375676
http://www.wikidata.org/entity/Q12378736,Q12378736
http://www.wikidata.org/entity/Q12379090,Q12379090
http://www.wikidata.org/entity/Q1238774,Q1238774
http://www.wikidata.org/entity/Q1239305,Q1239305
http://www.wikidata.org/entity/Q12408860,Q12408860
http://www.wikidata.org/entity/Q12411203,Q12411203
http://www.wikidata.org/entity/Q1241672,Q1241672
http://www.wikidata.org/entity/Q1244993,Q1244993
http://www.wikidata.org/entity/Q1245584,Q1245584
http://www.wikidata.org/entity/Q1247331,Q1247331
http://www.wikidata.org/entity/Q1249748,Q1249748
