Satz#;NAME;VORNAME;GEBDAT;;;GEBZEIT;;AMPM;ZEITZONE;GEBORT;LO1;LO2;LA1;LA2;SPORTART;MARS;BATCH
146;Hairston;Harold;31;5;1942;12;8;A;5;NC;80;15;36;6;BASK;20;2
147;Hall;Dale;21;6;1924;5;0;P;6;KS;94;42;37;25;BASK;28;2
148;Hammond;Kathy;2;11;1951;6;57;A;8;CA;121;29;38;35;TRAC;7;2
149;Hamburger;Christian;13;8;1941;1;42;P;5;NC;78;59;35;9;FOOT;24;1
150;Hannum;Alex;19;7;1923;10;30;P;8;CA;118;15;34;3;BASK;24;2
151;Harder;Marlin;6;5;1922;5;30;A;6;WI;87;55;43;2;FOOT;13;2
152;Harman;Rick;30;3;1928;9;45;P;6;KS;96;46;37;41;BASK;28;2
153;Harris;Archie;3;7;1918;4;30;A;5;VA;76;34;37;38;TRAC;24;2
154;Haskins;Clem;11;8;1943;3;45;P;6;KY;85;20;37;21;BASK;22;3
155;Hatton;Vern;13;1;1936;7;0;A;6;KY;83;46;38;9;BASK;34;3
156;Havlicek;John;8;4;1940;8;40;A;5;OH;80;44;40;6;BASK;1;1
157;Hawkins;Benjamin;22;3;1944;9;45;P;5;NJ;74;10;40;44;FOOT;13;2
158;Heinsohn;Thomas;26;8;1934;1;31;P;5;NJ;74;2;40;45;BASK;13;1
159;Hemric;Dixon;29;8;1933;11;40;A;5;NC;80;51;36;14;BASK;2;2
160;Herber;Arnold;2;4;1910;2;0;A;6;WI;88;0;44;31;FOOT;24;2
161;Hickman;Bernard;5;10;1911;1;20;A;6;KY;87;11;37;12;BASK;7;2
162;Hill;Harlon;4;5;1932;5;0;A;6;AL;87;40;34;48;FOOT;2;2
163;Hirsch;Elroy;17;6;1923;10;45;P;6;WI;88;0;43;3;FOOT;23;1
164;Hitchcock;James;28;6;1911;9;0;A;6;AL;85;45;32;1;FOOT;13;2
165;Holbrook;Eddie;21;8;1939;11;45;A;5;NC;80;51;36;15;BASK;29;2
166;Holland;Terry;2;4;1942;9;15;P;5;NC;78;19;35;0;BASK;14;2
167;Hornung;Paul Vernon;23;12;1935;8;55;A;6;KY;85;46;38;15;FOOT;36;1
168;Hosket;Bill;20;12;1946;6;28;A;5;OH;84;12;39;45;BASK;34;2
169;Hougland;Bill;20;6;1930;5;45;A;6;KS;97;37;37;2;BASK;5;2
170;Houston;James E;3;11;1937;9;0;A;5;OH;81;31;40;48;FOOT;32;1
171;Huber;Lee;16;2;1919;3;15;A;6;KY;85;46;38;15;BASK;30;2
172;Hudson;Lou;11;7;1944;8;10;A;5;NC;79;48;36;4;BASK;34;1
173;Hunter;Arthur;24;4;1933;8;20;P;5;OH;80;57;41;52;FOOT;9;2
174;Ireland;George;26;7;1913;12;30;A;6;WI;89;24;43;4;BASK;1;2
175;Jackson;Phil;17;9;1945;5;40;P;7;MT;112;44;46;24;BASK;22;2
176;James;Richard;22;5;1934;10;0;A;8;OR;123;19;42;36;FOOT;8;2
177;Jennings;James;16;8;1952;11;0;A;5;MA;72;36;42;12;FOOT;33;3
178;Jeter;Robert D;9;5;1937;8;0;A;5;SC;81;37;34;43;FOOT;21;1
179;Joe;William;14;10;1940;12;0;A;5;SC;79;12;34;0;FOOT;29;2
180;Johnsom;Kermit;22;2;1952;11;15;A;8;CA;118;15;34;3;FOOT;20;2
181;Johnson;Cornelius;21;8;1913;2;20;A;8;CA;118;15;34;3;TRAC;4;2
182;Johnson;Patty Jean;15;4;1950;10;0;A;8;CA;117;9;32;43;TRAC;28;2
183;Jones;Clinton;24;5;1945;8;47;P;5;OH;81;42;41;30;FOOT;25;2
184;Jones;Larry;22;9;1942;12;2;A;5;OH;83;0;39;58;BASK;25;2
185;Jorden;Henry W;26;1;1935;5;10;P;5;VA;77;32;36;41;FOOT;28;1
186;Jordan;Payton;19;3;1917;2;50;A;8;CA;118;2;33;58;TRAC;32;2
187;Jurgensen;Christian Adolph;23;8;1934;5;45;A;5;NC;77;55;34;14;FOOT;4;1
188;Justice;Charles;18;5;1924;8;0;A;5;NC;82;33;35;36;FOOT;13;2
189;Kassulke;Karl;20;3;1941;4;36;A;6;WI;87;55;43;2;FOOT;4;2
190;Keane;Thomas;7;9;1926;4;0;P;5;OH;80;45;40;1;FOOT;27;2
191;Keller;John;10;11;1928;1;0;P;7;KS;101;9;39;5;BASK;23;2
192;Kelley;Lawrence;30;5;1915;6;0;A;6;OH;80;33;41;57;FOOT;5;2
193;Kelly;Dean;23;9;1931;5;35;A;6;KS;95;1;37;21;BASK;32;2
194;Kelly;Michael;14;1;1948;12;57;P;5;NC;80;51;35;30;FOOT;23;2
195;Kenney;Bob;23;6;1931;5;35;A;6;KS;97;2;37;3;BASK;28;2
196;Kern;Rex;28;5;1949;2;42;A;5;OH;82;36;39;43;FOOT;34;2
197;Keyes;Leroy;18;2;1947;11;19;A;5;VA;76;25;36;59;FOOT;9;2
198;Kiick;James;9;8;1946;3;33;P;5;NJ;74;18;40;55;FOOT;9;2
199;Kilmer;William Orland;5;9;1939;11;15;P;6;KS;95;40;39;3;FOOT;13;1
200;Kimball;Toby;7;9;1942;3;30;A;5;MA;71;25;42;17;BASK;31;3
201;King;Robert W;20;6;1906;11;0;A;8;CA;118;15;34;3;TRAC;8;2
202;King;Ron;11;7;1951;8;20;A;6;KY;85;46;38;15;BASK;5;2
203;Kinner;Bill;13;6;1914;10;45;P;7;UT;111;58;41;13;BASK;17;2
204;Klemmer;Grover;16;3;1921;6;57;P;8;CA;122;25;37;46;TRAC;16;2
205;Klueh;Duane;6;1;1926;4;0;A;6;ND;100;27;48;50;BASK;34;3
206;Knostman;Dick;9;8;1931;9;30;A;6;KS;96;18;39;12;BASK;36;2
207;Koffenberger;Ed;4;7;1926;10;7;P;5;DE;75;33;39;45;BASK;32;3
208;Kojis;Donald;15;7;1939;8;57;A;6;WI;87;55;43;2;BASK;23;1
209;Kotz;John;27;3;1919;7;30;P;6;WI;89;25;45;38;BASK;19;2
210;Kramer;John A;1;8;1921;1;45;A;8;NV;115;9;36;10;TENN;32;1
211;Kramer;Gerald;23;1;1936;5;30;P;7;MT;106;55;47;19;FOOT;15;1
212;Kramer;Ronald;24;6;1935;11;20;P;6;KS;94;50;37;31;FOOT;18;2
213;Kuss;Roger;24;4;1931;3;20;A;6;WI;92;37;44;52;BASK;21;2
214;Laird;Ron;31;5;1938;5;51;A;6;KY;85;46;38;15;TRAC;1;2
215;Lamar;Dwight;7;4;1951;4;5;A;5;OH;83;0;39;58;BASK;32;2
216;Lanier;Willie W;21;8;1945;12;40;A;5;VA;78;44;36;50;FOOT;35;1
217;Larsen;Gary/L;13;3;1940;2;43;P;6;ND;96;48;46;52;FOOT;8;3
218;Layton;Dennis;24;12;1948;12;45;A;5;NJ;74;10;40;44;BASK;27;2
219;Lebaron;Edward W;7;1;1930;2;20;P;8;CA;122;32;37;58;FOOT;15;1
220;Lebeau;C. Richard;9;9;1937;8;15;A;5;OH;83;27;39;53;FOOT;30;1
221;Lee;Russel;27;1;1950;10;55;A;5;MA;71;3;42;22;BASK;20;3
222;Lee;Sammy;1;8;1920;7;5;A;8;CA;119;47;36;44;SWIM;29;1
223;Lemon;Meadow George;25;4;1933;6;0;P;5;SC;81;14;34;0;BASK;6;1
224;Lewis;Sherman;29;6;1942;11;15;A;6;KY;85;46;38;15;FOOT;5;2
225;Liquori;Martin;11;9;1949;5;16;P;5;NJ;74;13;40;49;TRAC;19;2
226;Lolich;Michael Stephen;12;9;1940;7;4;P;8;OR;122;37;45;32;BASE;20;1
227;Love;Stan;22;8;1949;7;36;P;8;CA;118;21;33;58;BASK;24;3
228;Lucas;Jerry Ray;30;3;1940;3;0;A;5;OH;84;24;39;31;BASK;26;1
229;Lucas;William;23;11;1909;6;9;P;6;OH;84;38;39;45;BASK;7;2
230;Luisetti;Angelo;16;6;1916;8;30;A;8;CA;122;25;37;46;BASK;33;2
231;Lynch;James;28;8;1945;11;2;A;6;OH;84;6;40;44;FOOT;13;2
232;Mack;Thomas L;1;11;1943;8;45;A;5;OH;81;42;41;30;FOOT;15;1
233;Madden;John;10;4;1936;5;25;A;6;MN;92;58;43;40;FOOT;35;3
234;Maham;Larry;21;11;1943;6;34;P;8;OR;123;2;44;56;RODE;1;1
235;Mandic;John;3;10;1919;2;0;A;8;CA;118;15;34;3;BASK;34;3
236;Mandich;Jim;30;7;1948;8;5;P;5;OH;81;42;41;30;FOOT;14;2
237;Mann;Ralph;16;8;1949;9;5;A;8;CA;118;11;33;46;TRAC;9;2
238;Mann;Richard Scott;13;6;1934;4;50;P;7;UT;111;53;40;45;AUTO;16;1
239;Maris;Roger;10;9;1934;1;0;P;6;MN;92;56;47;25;BASE;14;1
240;Marshall;James;30;12;1937;6;50;A;6;KY;84;46;37;39;FOOT;32;2
241;Matuszak;John;25;10;1950;7;58;P;6;WI;87;55;42;52;FOOT;19;2
242;Mays;Willie Howard;6;5;1931;10;30;P;6;AL;86;48;33;31;BASE;15;1
243;Mc Adoo;Robert;25;9;1951;7;38;P;5;NC;79;48;36;4;BASK;24;3
244;McCabe;Frank;30;6;1927;4;35;A;6;MN;93;31;47;14;BASK;31;3
245;McCaffrey;John;24;12;1938;5;32;P;7;AZ;110;58;32;13;BASK;23;3
246;McCovey;Willy;10;1;1938;12;15;P;6;AL;88;3;30;41;BASE;4;1
247;McDaniels;Jim;2;4;1948;5;0;A;6;KY;86;11;36;45;BASK;21;3
248;McKinney;Horace;1;1;1919;8;0;A;5;NC;76;35;35;18;BASK;35;3
249;McNeil;Clifton;25;5;1939;9;30;A;6;AL;88;3;30;41;FOOT;19;2
250;McPhee;Frank;19;3;1931;7;30;A;5;OH;80;39;41;6;FOOT;25;2
251;Mencel;Charles;21;4;1933;4;0;P;6;WI;90;24;45;41;BASK;4;3
252;Merz;Curtis;17;4;1938;5;50;P;5;NJ;74;10;40;44;FOOT;15;2
253;Miller;Creighton;26;9;1922;11;0;P;5;OH;81;42;41;30;FOOT;19;2
254;Miller;Freddie;3;4;1911;3;0;A;6;OH;84;31;39;6;BOXI;36;2
255;Mitchell;Lydell;30;5;1949;2;59;A;5;NJ;75;28;39;34;FOOT;33;1
256;Morin;Milt;15;10;1942;8;30;P;5;MA;71;45;42;32;FOOT;22;1
257;Motta;Dick;3;9;1931;6;7;P;7;UT;111;54;40;36;BASK;15;3
258;Moyer;Denny;8;8;1939;10;51;A;8;OR;122;37;45;32;BOXI;27;2
259;Murro;Mark;4;6;1949;5;10;A;5;NJ;74;10;40;44;TRAC;1;2
260;Nash;Charles;24;7;1942;9;49;A;5;NJ;74;4;40;44;BASK;3;3
261;Nelson;Albert;27;10;1943;6;20;A;6;OH;84;31;39;6;FOOT;13;2
262;Nicklaus;Jack;21;1;1940;3;10;A;5;OH;83;0;39;58;GOLF;24;1
263;Noll;Charles;5;1;1932;2;42;A;5;OH;81;42;41;30;FOOT;30;2
