305M Motta, Luigi;1881;07;11;10;10;-0,83;Bussolengo VR;45,4;-11
308M Napolitano, Gian Gaspare;1907;05;30;10;30;-1;Palermo PA;38;-13,5
309M Nardelli, Federico Vittore;1891;04;04;23;59;-0,83;Avezzano AQ;42,4;-13,5
310M Nasalli-Rocca di Corneliano;1897;07;17;23;20;-1;Piacenza PC;45;-9,75
312M Negro, Francesco;1897;04;15;18;45;-1;Maglie LE;40,4;-18,75
314M Nigra, Create;1885;07;26;05;30;-0,83;Viggiano PZ;40,5;-15,75
315M Nitti, Francesco Saverio;1868;07;19;13;00;-0,83;Melfi PZ;40,5;-15,75
316M Nosari, Adone;1875;09;03;21;00;-0,83;Suzzara MN;45,2;-11
317M Operti, Pier;1896;02;11;06;00;-1;Bra CN;44,4;-7,25
319M Orsini, Giovanni;1886;01;20;22;00;-0,83;Livorno LI;43,6;-9,5
320M Orsini, Luigi;1873;11;13;08;30;-0,83;Imola BO;44,5;-11
321M Ottello, Giacomo;1895;12;09;14;10;-1;Romano Canavese AO;45,8;-8
322M Ottolini, Piero;1878;11;03;19;15;-0,83;Milano MI;45,5;-9,25
323M Padellaro, Nazareno;1892;04;18;05;00;-0,88;Mazzarino CL;37,5;-14
325M Palazzi, Fernando;1884;06;21;10;15;-0,83;Arcevia AN;43,7;-13,75
326M Palmegiani, Francesco;1892;09;12;05;00;-0,83;Rieti RI;42,4;-13,25
327M Palmieri, Enzo;1893;02;27;09;50;-0,83;Dugenta BN;41,3;-15
328M Pancrazi, Pietro;1893;02;19;13;00;-0,83;Cortona AR;43,5;-12
329M Pantini, Romualdo;1877;02;21;17;30;-0,83;Vasto CH;42,3;-14,25
330M Papini, Giovanni;1881;01;09;18;10;-0,83;Firenze FI;43,7;-11,5
331M Parisi, Vittorio;1900;09;04;11;00;-1;Palmi Calabria RC;38,1;-15,5
333M Pasinetti, Pier Maria;1913;06;24;07;45;-1;Venezia VE;45,5;-12,5
334M Pastorino, Carlo;1887;07;17;05;00;-0,83;Masone GE;44,4;-9
336M Pattarozzi, Gaetano;1914;01;22;20;00;-1;Cagliari CA;39,4;-9
338M Pecchio, Giuseppe;1879;05;11;02;00;-0,83;Torino TO;45;-8
339M Pellegrini, Gian Gino;1899;12;21;19;00;-1;Varese VA;45,8;-9
340M Pennazza, Giuseppe Antonio;1881;06;27;22;20;-0,83;Avezzano AQ;42,4;-13,5
341M Perali, Pericle;1884;06;20;01;00;-0,83;Orvieto TR;42,5;-13
342M Peritore, Giuseppe Angelo;1897;07;06;07;30;-1;Licata AG;37,2;-13,5
343M Perri, Francesco;1885;07;15;11;30;-0,83;Careri RC;38,1;-15,5
344M Petrone, Icilio;1902;05;03;20;30;-1;Montecorvino Rovella SA;40,7;-15,25
345M Petroselli, Filippo;1886;10;17;11;00;-0,83;Viterbo VI;45,5;-12
346M Petrucci, Alfredo;1888;03;12;02;30;-0,83;Sannicandro Gargan FG;41,6;-15,5
347M Pezzani, Renzo;1898;06;04;02;00;-1;Parma PR;44,8;-10,75
348M Piastra, Gino;1896;01;17;07;00;-1;Carrara MS;44;-10,5
349M Piatti, Antonio;1875;06;12;02;05;-0,83;Viggiù VA;45,8;-9
350M Piccolo, Francesco;1892;02;25;03;00;-0,83;Lucera FG;41,6;-15,5
351M Piceni, Enrico;1901;03;26;09;00;-1;Milano MI;45,5;-9,25
353M Piovene, Guide;1907;07;27;09;20;-1;Vicenza VI;45,5;-12
355M Pollini, Leo;1891;07;04;11;30;-0,83;Valmadrera CO;45,8;-9,25
356M Pompeati, Lucchini Arturo;1880;04;18;03;10;-0,83;Ferrara FE;44,7;-12,5
357M Pompei, Mario;1903;02;03;11;00;-1;Terni TR;42,5;-13
358M Pompilj, Luigi;1893;07;09;13;00;-0,83;Spoleto PG;43;-13
360M Prampolini, Giacomo;1898;06;22;08;40;-1;Milano MI;45,5;-9,25
361M Pratolini, Vasco;1913;10;19;11;15;-1;Firenze FI;43,7;-11,5
362M Prepositi, Clementine;1882;02;08;06;05;-0,83;Atri TE;42,7;-14
363M Prezzolini, Giuseppe;1882;01;27;03;00;-0,83;Perugia PG;43;-13
364M Profeta, Ottavio;1890;10;10;16;00;-0,88;Aidone EN;37,5;-14,25
365M Puccini, Mario;1887;07;29;12;20;-0,83;Senigallia AN;43,7;-13,75
366M Pugliese, Sergio;1908;03;12;13;00;-1;Ivrea TO;45;-8
367M Quasimodo, Salvatore;1901;08;20;18;00;-1;Siracusa SR;37;-15,5
368M Ramperti, Queilla Fiorina;1887;12;25;05;30;-0,83;Novara NO;45,5;-9
369M Raymondi, Raimondo;1870;10;10;08;00;-0,83;Scerni CR;42,3;-14,25
370M Rebecchi, Umberto;1879;10;31;11;50;-0,83;Podenzano PC;45;-9,75
371M Repaci, Leonida;1898;04;23;17;00;-1;Palmi Calabria RC;38,1;-15,5
372M Ribera, Almerico;1874;03;07;23;59;-0,83;S.Giovanni a T NA;40,9;-14
373M Richelmy, Carlo;1894;01;25;03;45;-1;Torino TO;45;-8
374M Rigotti, Giuseppe;1899;09;15;17;00;-1;Bogogno NO;45,5;-9
376M Rivalta, Camillo;1876;05;04;10;00;-0,83;Faenza RA;44,4;-12,25
377M Robecchi-Brivio, Erminio;1893;01;20;22;20;-0,83;Zeme Lomellina PV;45,2;-9
378M Rodino, Edoardo;1901;05;06;22;30;-1;Gioiosa Ionica RC;38,1;-15,5
380M Roppo, Vincenzo;1879;02;26;13;40;-0,83;Ceglie del Campo BA;41,2;-17
381M Rosati, Guiseppe;1874;02;28;04;30;-0,83;Valentano VT;42,4;-12
382M Roschini, Alessandro;1900;12;19;10;00;-1;Castel s.Elia VI;45,5;-12
383M Rosi, Mina;1913;06;09;02;10;-1;Velterra PI;43,7;-10,5
384M Resina, Tito;1899;09;20;03;30;-1;Geneva GE;44,4;-9
385M Rossi, Carlo;1892;02;14;19;00;-0,83;Torino TO;45;-8
386M Rossi, Vittorio G.;1898;01;08;04;00;-1;Santa Margherita GE;44,4;-9
387M Rosso di s.Secondo Piermaria;1889;11;30;13;00;-0,88;Caltanissetta CL;37,5;-14
388M Revere, Teresio;1891;06;22;04;30;-0,83;Torino TO;45;-8
389M Rovida, Gino;1890;01;19;14;45;-0,83;Modena MO;44,6;-11,25
391M Ruggi, Lorenzo;1883;04;07;11;45;-0,83;Bologna BO;44,5;-11
392M Rusconi, Edilio;1916;11;11;01;00;-1;Milano MI;45,5;-9,25
393M Russo, Nicola;1896;11;13;10;00;-1;Bari BA;41,2;-17
396M Sacchetti, Renzo;1872;12;19;04;00;-0,83;Montechiaro d'a AT;44,9;-8,5
397M Salmoiraghi, Pietro;1911;09;06;20;00;-1;Gallarate VA;45,8;-9
398M Salsa, Carlo;1893;03;02;10;00;-0,83;Alessandria AL;45;-9
399M Salvaneschi, Giovanni;1886;12;03;04;30;-0,83;Pavia PV;45,2;-9
400M Salvatorelli, Luigi;1886;03;11;23;59;-0,83;Marsciano PG;43;-13
401M Samminiatelli, Bino;1896;05;07;20;45;-1;Firenze FI;43,7;-11,5
402M Saponaro, Michele;1885;01;02;07;05;-0,83;S.cesario di Le LE;40,4;-18,75
